id,name,phone,email,address,category,city,area,source,source_url,phone_clean,email_valid,enriched,scraped_at,state,arn,license_no,membership_no,quality_score,quality_tier,blockchain_ca
104,Manav Sthali School,9311126526,info@manavsthalischool.com,"R Block, New Rajinder Nagar, New Delhi 110060 (Principal: Ms. Dipti Anurag Bhatnagar)",School,Delhi,,NPSC,http://www.manavsthalischool.com/,9311126526,1,1,2026-05-17 21:32:16,,,,,80,high,
105,Mata Jai Kaur Public School,9818290022,mjkps@hotmail.com,"Ashok Vihar, Ph III, New Delhi 110052 (Principal: Ms. Rashmi Mehta)",School,Delhi,,NPSC,http://www.mjkpsdelhi.com/,9818290022,1,1,2026-05-17 21:32:16,,,,,80,high,
106,Mater Dei School,9582624118,contact@materdeischool.in,"Tilak Lane, New Delhi-110001 (Principal: SR. Stella Joseph)",School,Delhi,,NPSC,http://www.materdeischool.in/,9582624118,1,1,2026-05-17 21:32:16,,,,,80,high,
107,Mira Model School,9289316610,Meenakshi.sant@miramodelschooldelhi.edu.in,"B Block, Janak Puri, New Delhi 110058 (Principal: Ms. Meenakshi Sant)",School,Delhi,,NPSC,http://www.miramodelschooldelhi.edu.in/,9289316610,1,1,2026-05-17 21:32:16,,,,,80,high,
108,Modern Public School,9811705555,info@mpsshalimarbagh.com,"BM Block, Shalimar Bagh West, New Delhi 110088 (Principal: Ms. Alka Kapur)",School,Delhi,,NPSC,http://www.mpsshalimarbagh.com/,9811705555,1,1,2026-05-17 21:32:16,,,,,80,high,
109,"Modern School, Barakhamba Road",8860035595,principal@modernschool.net,"Barakhamba Road, New Delhi 110001 (Principal: Dr. Vijay Datta)",School,Delhi,,NPSC,http://www.modernschool.net/,8860035595,1,1,2026-05-17 21:32:16,,,,,80,high,
110,"Modern School, Vasant Vihar",8130532115,po.msvv@gmail.com,"Poorvi Marg, Vasant Vihar, New Delhi 110057 (Principal: Ms. Meenakshi Sahni)",School,Delhi,,NPSC,http://www.modernschoolvasantvihar.org/,8130532115,1,1,2026-05-17 21:32:16,,,,,80,high,
111,Mont Fort School,7389774053,montfortschooldelhi@live.com,"Ashok Vihar, Ph I, New Delhi 110052 (Principal: Bro. Thampy Alex)",School,Delhi,,NPSC,http://www.montfortschooldelhi.in/,7389774053,1,1,2026-05-17 21:32:16,,,,,80,high,
112,Mother'S Global School,9818852411,info@mothersglobal.in,"Cblock, Preet Vihar, Delhi-110092 (Principal: Ms. Archana Manocha)",School,Delhi,,NPSC,http://www.mothersglobal.in/,9818852411,1,1,2026-05-17 21:32:16,,,,,80,high,
113,Motilal Nehru School Of Sports,9888890792,mnssrai@rediffmail.com,"20th Milestone, Rai, Sonipat, Haryana 131029 (Principal: Col. Ashok Mor (Retd))",School,Delhi,,NPSC,http://www.mnssrai.com/,9888890792,1,1,2026-05-17 21:32:16,,,,,80,high,
114,Mount Abu Public School,9868387227,jyotiarora212@gmail.com,"Pocket B/8, Sector 5, Rohini, New Delhi 110085 (Principal: Ms. Jyoti Arora)",School,Delhi,,NPSC,http://www.mountabuschool.com/,9868387227,1,1,2026-05-17 21:32:16,,,,,80,high,
115,Mount St. Mary'S School,9999017544,msmschool1963@gmail.com,"75 Parade Road, Delhi Cantt. 110010 (Principal: Bro. Naveen Francis)",School,Delhi,,NPSC,http://www.msmschool.net/,9999017544,1,1,2026-05-17 21:32:16,,,,,80,high,
116,Mrg School,9818030602,namaste@mrgschool.edu.in,"Sector-3, Pocket-B5, Guru Govalkar Marg (Principal: Ms. Anshu Mittal)",School,Delhi,,NPSC,http://www.mrgsschool.edu.in/,9818030602,1,1,2026-05-17 21:32:16,,,,,80,high,
117,N. H. Goel World School,9829099251,principal@nhgoel.com,"Vidhan Sabha Road, Nardaha, Raipur, Chattisgarh 493111 (Principal: Ms. Krishna Bhati)",School,Delhi,,NPSC,https://nhgoel.com/,9829099251,1,1,2026-05-17 21:32:16,,,,,80,high,
118,N.C. Jindal Public School,9811621221,ncjindalps@yahoo.co.in,"Road No. 73, Punjabi Bagh West, New Delhi 110026 (Principal: Shri Deepak Dua)",School,Delhi,,NPSC,http://www.ncjindalps.com/,9811621221,1,1,2026-05-17 21:32:16,,,,,80,high,
119,N.K.Bagrodia Public School,9650239555,principalnkbpsrohini@gmail.com,"Ahinsa Marg, Opp. Varun Apartment, Sect. 9, Rohini, New Delhi 110085 (Principal: Mr. Prashant Parashar B)",School,Delhi,,NPSC,http://www.nkbpsrohini.com/,9650239555,1,1,2026-05-17 21:32:16,,,,,80,high,
120,Navy Children School,9810138563,principal.ncsd@gmail.com,"Satya Marg, Chanakya Puri, New Delhi 110021 (Principal: Ms. Oshima Mathur)",School,Delhi,,NPSC,http://ncsdelhi.nesnavy.in/,9810138563,1,1,2026-05-17 21:32:16,,,,,80,high,
121,New Era Public School,9810153994,uchpneps@gmail.com,"H 17 Main Mayapuri Road, New Delhi 110064 (Principal: Ms. Vandana Chawla)",School,Delhi,,NPSC,http://www.newerapublicschool.in/,9810153994,1,1,2026-05-17 21:32:16,,,,,80,high,
122,O. P. Jindal Modern School,9996006533,info@opjms.edu.in,"6 KM Stone, OP Jindal Marg, Hissar, Haryana 125005 (Principal: Ms. Nandita Sahu)",School,Delhi,,NPSC,http://www.opjms.edu.in/,9996006533,1,1,2026-05-17 21:32:16,,,,,80,high,
123,"O.P. Jindal School, Raigarh",9826361056,opjs.raigarh@jindalsteel.com,"Patrapali, Kharsia Road, Raigarh, Chattisgarh-496 001 (Principal: Mr. Ram Krishna Trivedi)",School,Delhi,,NPSC,http://www.opjsrgh.in/,9826361056,1,1,2026-05-17 21:32:16,,,,,80,high,
124,Pinegrove School,9805004108,subathu@pinegroveschool.com,"Kuthar Road, Subathu, District Solan, H.P. 173206 (Principal: Mr. Pankaj Sharma)",School,Delhi,,NPSC,http://www.pinegroveschool.in/,9805004108,1,1,2026-05-17 21:32:16,,,,,80,high,
125,Pinegrove School,9816077505,headmaster@pinegroveschool.com,"Kausauli Road, Dharampur, District Solan H.P. 173209 (Principal: Capt. A. J. Singh)",School,Delhi,,NPSC,http://www.pinegroveschool.com/,9816077505,1,1,2026-05-17 21:32:16,,,,,80,high,
126,Presentation Convent Sr. Sec. School,9868969747,pcsdelhi64@gmail.com,"S.P. Mukherjee Marg, Delhi 110006 (Principal: SR. Regi Joseph)",School,Delhi,,NPSC,http://www.pcsdelhi.in/,9868969747,1,1,2026-05-17 21:32:16,,,,,80,high,
127,Ramjas Public School (Day Boarding),9871822522,ramjasdayboarding2007@gmail.com,"Lane 10, Anand Parbat, New Delhi 110005 (Principal: Ms. Sarika Arora)",School,Delhi,,NPSC,http://www.ramjasdayboarding.org/,9871822522,1,1,2026-05-17 21:32:16,,,,,80,high,
128,Ramjas School,9911723230,info@ramjasap.edu.in,"Anand Parvat, New Delhi 110005 (Principal: Mr. Vikas)",School,Delhi,,NPSC,http://www.ramjasap.edu.in/,9911723230,1,1,2026-05-17 21:32:16,,,,,80,high,
129,Ramjas School,9911128682,richa.sharma@ramjasrkp.com,"Sector IV, R. K. Puram, New Delhi 110022 (Principal: Ms. Richa Sharma)",School,Delhi,,NPSC,http://www.ramjasschoolrkpuram.com/,9911128682,1,1,2026-05-17 21:32:16,,,,,80,high,
130,Ramjas School,8860091221,principal@ramjaspusa.com,"Pusa Road, New Delhi-110005 (Principal: Ms. Surabhi Dua)",School,Delhi,,NPSC,http://www.ramjaspusa.com/,8860091221,1,1,2026-05-17 21:32:16,,,,,80,high,
131,S. D. Public School,9811858030,meenakshiguptaa21@gmail.com,"Patel Nagar, Delhi 110008 (Principal: Dr. Meenakshi Gupta)",School,Delhi,,NPSC,http://www.sdpsepn.edu.in/,9811858030,1,1,2026-05-17 21:32:16,,,,,80,high,
132,Sadhuvaswani International School For Girls,9871842237,office@svisgdelhi.com,"2nd Street, Shanti Niketan, New Delhi 110021 (Principal: Dr. Santosh Vyas)",School,Delhi,,NPSC,http://www.svisgdelhi.com/,9871842237,1,1,2026-05-17 21:32:16,,,,,80,high,
133,Saint Soldier'S Divine Public School,9877026162,info@saintsoldierschool.org,"Sector 16, Panchkula, Haryana 134109 (Principal: Mr. Ranjan Kumar)",School,Delhi,,NPSC,http://www.saintsoldierschool.org/,9877026162,1,1,2026-05-17 21:32:16,,,,,80,high,
134,Salwan Public School,9312749269,sps@salwanschools.com,"Girdharilal Salwan Marg, Rajinder Nagar, New Delhi 110060 (Principal: Ms. Priyanka Barara)",School,Delhi,,NPSC,http://www.salwanpublicschool.com/,9312749269,1,1,2026-05-17 21:32:16,,,,,80,high,
135,Salwan Public School,9717248449,principal.spsmayurvihar@salwanschools.com,"Kondli Gharouli Complex, Mayur Vihar, Phase - III, Delhi – 110096 (Principal: Capt Richa Sharma Katyal (Retd.))",School,Delhi,,NPSC,http://www.spsmayurvihar.com/,9717248449,1,1,2026-05-17 21:32:16,,,,,80,high,
136,Sanskriti School,9350317217,school@sanskritischool.edu.in,"Dr. S. Radhakrishnan Marg, Chanakyapuri, New Delhi 110021 (Principal: Ms. Richa Sharma Agnihotri)",School,Delhi,,NPSC,http://www.sanskritischool.edu.in/,9350317217,1,1,2026-05-17 21:32:16,,,,,80,high,
137,Sardar Patel Vidyalaya,9868274015,spv@spvdelhi.org,"Lodi Estate, Maharishi Raman Marg, New Delhi 110003 (Principal: Ms. Anuradha Joshi)",School,Delhi,,NPSC,http://www.spvdelhi.org/,9868274015,1,1,2026-05-17 21:32:16,,,,,80,high,
138,Shaheed Rajpal Dav Public School,9810248214,davr_dv@yahoo.com,"Dayanand Vihar, New Delhi 110092 (Principal: Ms. Vinita Kapoor)",School,Delhi,,NPSC,http://www.davdayanandvihar.net/,9810248214,1,1,2026-05-17 21:32:16,,,,,80,high,
139,Shiv Nadar School,9811312450,director-principalggn@sns.edu.in,"DLF City, Phase-I, E-Block, Pahari Road, Gurgaon, Haryana (Principal: Ms. Monika Sagar)",School,Delhi,,NPSC,https://shivnadarschool.edu.in,9811312450,1,1,2026-05-17 21:32:16,,,,,80,high,
140,Shree Vasishtha Vidhyalaya,9825296605,drakgaur@rediffmail.com,"AT & PO : VAV, NH No.48, Taluk : Kamrej, Surat, Gujarat 394326 (Principal: Dr. Ajit Kumar Gaur)",School,Delhi,,NPSC,http://www.vasishtha.ac.in/,9825296605,1,1,2026-05-17 21:32:16,,,,,80,high,
141,Sir Padampat Singhania Education Centre,5128812414,principal@spsec.co.in,"Kamla Nagar, Kanpur, U.P. 208005 (Principal: Ms. Bhawna Gupta)",School,Delhi,,NPSC,http://www.spsec.co.in/,5128812414,1,1,2026-05-17 21:32:16,,,,,80,high,
142,Springdales School,9818053689,principal@springdalespusa.com,"Upper Ridge Road Junction, Pusa Road, New Delhi 110005 (Principal: Dr. Mala Gupta)",School,Delhi,,NPSC,http://www.springdalespusa.com/,9818053689,1,1,2026-05-17 21:32:16,,,,,80,high,
143,Springdales School,9811564947,admn.springdales@gmail.com,"Benito Jaurez Marg, Dhaula Kuan, New Delhi 110021 (Principal: Ms. Ritu Madan)",School,Delhi,,NPSC,http://www.springdales.com/,9811564947,1,1,2026-05-17 21:32:16,,,,,80,high,
144,St Froebel Sr Secondary School,9773794054,info@stfroebelschool.com,"Paschim Vihar, Delhi (Principal: Dr. Neeraj Vohra)",School,Delhi,,NPSC,http://stfroebelschool.com,9773794054,1,1,2026-05-17 21:32:16,,,,,80,high,
145,St. Columbas School,8468817002,principal@stcolumbas.edu.in,"1, Ashok Place, New Delhi 110001 (Principal: Bro. Robert Fernandes)",School,Delhi,,NPSC,http://www.stcolumbas.edu.in/,8468817002,1,1,2026-05-17 21:32:16,,,,,80,high,
146,St. Francis De Sales Sr. Sec. School,8929832696,mail@sfsdelhi.com,"A 4C, Janak Puri, New Delhi 110058 (Principal: Fr.B. Anthony Amaladoss)",School,Delhi,,NPSC,http://www.sfsdelhi.com/,8929832696,1,1,2026-05-17 21:32:16,,,,,80,high,
147,St. Margaret Sr. Sec. School,9810576748,office@stmargaretsrsecschool.com,"D Block, Prashant Vihar, Rohini, Delhi 110085 (Principal: Ms. Simmi Bhatia)",School,Delhi,,NPSC,http://www.stmargaretsrsecschool.com/,9810576748,1,1,2026-05-17 21:32:16,,,,,80,high,
148,St. Mary'S School,9810191793,contact@stmarysdelhi.org,"Madam Sara Mathew Lane, B2 Block, Safdarjung Enclave, N.D. 110029 (Principal: Dr. Annie Koshi)",School,Delhi,,NPSC,http://www.stmarysdelhi.org,9810191793,1,1,2026-05-17 21:32:16,,,,,80,high,
149,St. Thomas Girls Sr. Sec. School,9971449191,stsschool@gmail.com,"Mandir Marg, New Delhi-110001 (Principal: Ms. Anuradha Amos)",School,Delhi,,NPSC,http://www.stthomasgirlsschool.com,9971449191,1,1,2026-05-17 21:32:16,,,,,80,high,
150,St. Thomas School,9818490340,principal@stthomasdwarka.com,"Goyala Vihar, Near Sector 19 Dwarka, New Delhi 110071 (Principal: Ms. Meneka Ishwinder Singh)",School,Delhi,,NPSC,http://www.stthomasdwarka.com,9818490340,1,1,2026-05-17 21:32:16,,,,,80,high,
151,Sunbeam English School,9721452162,bhagwanpur@sunbeamschools.com,"206, Bhagwanpur, Lanka, Varanasi, U.P. 221005 (Principal: Ms. Prerna Sharma)",School,Delhi,,NPSC,http://www.sunbeamschools.com/school/bhagwanpur,9721452162,1,1,2026-05-17 21:32:16,,,,,80,high,
152,Sunbeam School,9721452301,lht@sunbeamschools.com,"Near Lahartara Over bridge, Behind D R M Office, Lahartara, Varanasi,U.P.221002 (Principal: Ms. Perveen Quaiser)",School,Delhi,,NPSC,http://www.sunbeamschools.com,9721452301,1,1,2026-05-17 21:32:16,,,,,80,high,
153,Sunbeam School,9721452401,principal.varuna@sunbeamschools.com,"Central Jail Road, Sikraul, Varanasi, U.P. 221002 (Principal: Dr. Anupama Mishra)",School,Delhi,,NPSC,http://sunbeamschools.com/school/varuna/,9721452401,1,1,2026-05-17 21:32:16,,,,,80,high,
154,Sunbeam School,9839666098,principal@sunbeammughalsarai.com,"Dulhipur, Mughalsarai, Chandauli, U.P. 232101 (Principal: Mr. Chinmoy Kumar Palit)",School,Delhi,,NPSC,http://www.sunbeammughalsarai.com,9839666098,1,1,2026-05-17 21:32:16,,,,,80,high,
155,Sunbeam School,9721452816,sunbeamschoolmau@gmail.com,"SH 34, Alinagar, Uttar Pradesh – 275 102 (Principal: Ms. Poonam Tiwari)",School,Delhi,,NPSC,http://www.sunbeamschoolmau.edu.in,9721452816,1,1,2026-05-17 21:32:16,,,,,80,high,
156,"Sunbeam School, Ballia",7755005905,principalsunbeamballia@gmail.com,"Agarsanda, Near Hanuman Temple, Ballia, U.P. – 277 001 (Principal: Dr. Arpita Singh)",School,Delhi,,NPSC,https://sunbeamballia.edu.in,7755005905,1,1,2026-05-17 21:32:16,,,,,80,high,
157,Sunbeam Suncity (School & Hostel),9721452601,principal.suncity@sunbeamschools.com,"821 Ga, Bachhaon Road, Karsana, Varanasi -221011 (Principal: Ms. Archana Singh)",School,Delhi,,NPSC,http://www.sunbeamschools.com/school/suncity,9721452601,1,1,2026-05-17 21:32:16,,,,,80,high,
158,Tagore International School,9810704879,principal.eok@tagoreint.com,"E Block, East of Kailash, New Delhi 110065 (Principal: Ms. Mallika Preman)",School,Delhi,,NPSC,http://www.tagoreint.com,9810704879,1,1,2026-05-17 21:32:16,,,,,80,high,
159,Tagore International School,8860195479,info.vv@tagoreint.com,"C Block, Paschimi Marg, Vasant Vihar, New Delhi 110057 (Principal: Dr. Parul Tyagi)",School,Delhi,,NPSC,http://www.tagoreint.com,8860195479,1,1,2026-05-17 21:32:16,,,,,80,high,
160,The Air Force School,9810971672,tafsdelhi@gmail.com,"Subroto Park, New Delhi 110010 (Principal: Ms. Amita Gupta)",School,Delhi,,NPSC,http://www.tafssp.com,9810971672,1,1,2026-05-17 21:32:16,,,,,80,high,
161,The Indian Heights School,9899889609,theindianheights@gmail.com,"Sector - 23, Dwarka, New Delhi – 110077 (Principal: Ms. Archana Narain)",School,Delhi,,NPSC,http://www.theindianheightsschool.com,9899889609,1,1,2026-05-17 21:32:16,,,,,80,high,
162,The Indian School,9810576830,contactus@theindianschool.in,"Josip Broz Tito Marg, Near Moolchand Flyover, New Delhi 110049 (Principal: Ms. Tania Joshi)",School,Delhi,,NPSC,http://www.theindianschool.in/,9810576830,1,1,2026-05-17 21:32:16,,,,,80,high,
163,The Mann School,9999640061,info@themannschool.com,"Holambi Khurd, Delhi 110082 (Principal: Mr. Srinivasan Sriram)",School,Delhi,,NPSC,http://www.themannschool.com,9999640061,1,1,2026-05-17 21:32:16,,,,,80,high,
164,The Mother'S International School,8178435550,contact@themis.in,"Sri Aurobindo Marg, New Delhi 110016 (Principal: Ms. Milan Mala Sarin)",School,Delhi,,NPSC,http://www.themis.in,8178435550,1,1,2026-05-17 21:32:16,,,,,80,high,
165,Titiksha Public School,8595806950,info@titikshapublicschool.com,"Sector11, Rohini, Delhi 110085 (Principal: Dr. Neeraj Vohra)",School,Delhi,,NPSC,http://www.titikshapublicschool.com,8595806950,1,1,2026-05-17 21:32:16,,,,,80,high,
166,Vallabh Ashram'S M G M Amin & V N Savani School,9537166622,school.mgm@vallabhashram.in,"N.H.48, Killa Pardi, Valsad, Gujarat 396125 (Principal: Mr. R.P. Maurya)",School,Delhi,,NPSC,http://www.vamgm.edu.in,9537166622,1,1,2026-05-17 21:32:16,,,,,80,high,
167,Veda Vyasa Dav Public School,9811770804,info@vvdav.com,"D Block, Vikaspuri, New Delhi 110018 (Principal: Ms. Shalini Arora)",School,Delhi,,NPSC,http://www.vvdav.org,9811770804,1,1,2026-05-17 21:32:16,,,,,80,high,
168,Venkateshewar International School,9891776567,principal@vis10dwarka.com,"Sec 10, Dwarka, New Delhi 110075 (Principal: Dr. Manisha Sharma)",School,Delhi,,NPSC,http://www.vis10dwarka.com,9891776567,1,1,2026-05-17 21:32:16,,,,,80,high,
169,Vidya Devi Jindal School,9896419601,principal@vdjs.edu.in,"Delhi Road, Hisar, Haryana 125044 (Principal: Ms. Naina Dhillon)",School,Delhi,,NPSC,http://www.vdjs.edu.in,9896419601,1,1,2026-05-17 21:32:16,,,,,80,high,
170,"Delhi Public School, Bathinda",9316952962,dpsbti@yahoo.co.in,"VPO. Bhokra, Goniana Road, Bathinda, Punjab 151201 (Principal: Ms. Jatinder Kumar Saini)",School,Bathinda,,NPSC,http://www.dpsbathinda.com,9316952962,1,1,2026-05-17 21:32:16,,,,,80,high,
171,"Delhi Public School, Bhilai",9584457592,principal@dpsbhilai.in,"Risali Sector, Bhilai, Chattisgarh 490006 (Principal: Mr. Parshant Vashishta)",School,Bhilai,,NPSC,http://www.dpsbhilai.in,9584457592,1,1,2026-05-17 21:32:16,,,,,80,high,
172,"Delhi Public School, Faridabad",9711153434,info@dpsfsis.com,"Sector 19, Main Mathura Road, Near Badkal Mor Metro Station, Faridabad, Haryana-121002 (Principal: Mr. Anil Kumar)",School,Faridabad,,NPSC,http://www.dpsfaridabad.in,9711153434,1,1,2026-05-17 21:32:16,,,,,80,high,
173,"Delhi Public School, Ghaziabad",9424516618,principal.mrd@dpsgs.org,"Site No. 3, Meerut Road, Ghaziabad, U.P. 201009 (Principal: Captain Dr. Dinisha Bhardwaj Singh)",School,Ghaziabad,,NPSC,http://www.dpsgs.org/ghaziabad,9424516618,1,1,2026-05-17 21:32:16,,,,,80,high,
174,"Delhi Public School, Ghaziabad",9419797389,principal.vnd@dpsgs.org,"Sector 9, Vasundhara, Ghaziabad 201012 (Principal: Dr. Vinod Kumar)",School,Ghaziabad,,NPSC,http://www.dpsgs.org/vasundhara,9419797389,1,1,2026-05-17 21:32:16,,,,,80,high,
175,"Delhi Public School, Indirapuram",9958179797,principal@dpsindirapuram.com,"526/1, Ahinsa Khand II, Indirapuram, Ghaziabad (U.P.) 201010 (Principal: Mrs. Priya Elizabeth John)",School,Ghaziabad,,NPSC,http://www.dpsindirapuram.com,9958179797,1,1,2026-05-17 21:32:16,,,,,80,high,
176,"Gurukul, The School",9810244494,principal@gurukultheschool.com,"NH 9, 28 Kms Delhi Milestone, Ghaziabad U.P. 201015 (Principal: Mr. Gaurav Bedi)",School,Ghaziabad,,NPSC,http://www.gurukultheschool.com/,9810244494,1,1,2026-05-17 21:32:16,,,,,80,high,
177,Salwan Public School,9818080173,principal.spssignaturecity@salwanschools.com,"Sector C, 7, Sainik Vihar, Trans Delhi Signature City, (Tronica City) Loni, Ghaziabad, U.P. 201102 (Principal: Ms. Sunita Madan)",School,Ghaziabad,,NPSC,http://www.spstronica.in/,9818080173,1,1,2026-05-17 21:32:16,,,,,80,high,
178,"Delhi Public School, Gurugram",9811712999,dpsgurgaon1@gmail.com,"Site No. 1, Sector 45, Urban Estate, Gurugram, Haryana 122003 (Principal: Ms. Aditi Misra)",School,Gurugram,,NPSC,http://www.dpsgurgaon.org,9811712999,1,1,2026-05-17 21:32:16,,,,,80,high,
179,"Delhi Public School, Maruti Kunj",9999564535,dpsmkg@dpsmarutikunj.org,"Sohna Alwar Road, Maruti Kunj, Bhondsi, Gurugram, Haryana 122102 (Principal: Mr. Akhilesh Chandra Chaturvedi)",School,Gurugram,,NPSC,http://www.dpsmarutikunj.org,9999564535,1,1,2026-05-17 21:32:16,,,,,80,high,
180,"Delhi Public School, Sushant Lok",9643308831,info@dpssl.net,"B Block, Phase1, Sushant Lok, Sector27, (Behind Max Hospital) Gurugram, Haryana122009 (Principal: Mr. Surender P Sachdeva)",School,Gurugram,,NPSC,http://www.dpssl.net,9643308831,1,1,2026-05-17 21:32:16,,,,,80,high,
181,"Delhi Public School, Jaipur",9829046709,jaipurdps@gmail.com,"NH 48, Bankrota, Ajmer Highway, Jaipur, Rajasthan 302026 (Principal: Ms. Richa Prakash Ghosh)",School,Jaipur,,NPSC,http://www.dpsjaipur.com,9829046709,1,1,2026-05-17 21:32:16,,,,,80,high,
182,Sync Test School 647096,8765647096,sync_test_647096@maysanlabs.com,123 Dual Write Street,School,Mumbai,,TEST_SYNC,http://sync-test.maysanlabs.com,8765647096,1,1,2026-05-17 21:49:35,,,,,80,high,
